Solution Label,Al MultiCal,Ca MultiCal,Cu MultiCal,K MultiCal,Mg MultiCal,Mn MultiCal,P MultiCal,S MultiCal,Zn MultiCal,Fe MultiCal
LTAR19-060 ,58.56,61.1,0.22,6.61,12.23,15.16,1.76,0.97,0.39,7.96
LTAR19-061 ,39.34,88.52,0.31,16.15,13.41,8.53,6.2,1.2,0.73,9.12
LTAR19-062 ,44.24,87.88,0.22,12.76,13.79,7.38,2.79,1.15,0.47,8.06
LTAR19-063 ,42.89,92.27,0.38,27.58,14.76,17.98,7.88,1.37,0.9,9.74
LTAR19-064 ,46.89,59.8,0.21,14.65,10.13,15.17,2.55,0.96,0.39,8.48
LTAR19-065 ,45.77,73.06,0.27,14.35,11.78,11.56,2.84,1.08,0.46,8.45
LTAR19-066 ,50.13,60.03,0.17,7.71,9.98,11.52,1.1,0.87,0.28,7.39
LTAR19-067 ,46.54,84.62,0.35,14.84,16.0,13.97,4.4,1.15,0.64,10.0
LTAR19-068 ,49.76,72.55,0.25,9.75,13.15,13.84,1.92,0.87,0.4,8.24
LTAR19-069 ,49.27,80.78,0.34,14.27,11.39,14.76,7.7,1.19,0.83,11.05
LTAR19-070 ,53.21,63.92,0.22,9.65,8.75,12.46,4.08,1.01,0.49,9.48
LTAR19-071 ,51.59,57.62,0.22,12.73,8.31,5.89,5.33,1.13,0.45,9.53
LTAR19-072 ,56.02,43.13,0.16,8.0,6.65,4.99,2.37,1.0,0.22,7.52
LTAR19-073 ,55.59,59.23,0.29,16.57,8.09,8.24,7.67,2.94,0.58,10.6
LTAR19-074 ,61.21,36.9,0.19,9.66,5.12,6.77,3.48,1.18,0.27,8.96
LTAR19-075 ,53.34,53.66,0.29,12.09,6.96,9.81,4.68,1.17,0.45,9.26
LTAR19-076 ,56.29,40.29,0.21,6.6,5.54,9.77,1.67,1.12,0.25,7.77
LTAR19-077 ,41.25,55.32,0.24,11.04,8.05,4.42,4.67,1.0,0.42,8.35
LTAR19-078 ,46.24,29.27,0.15,7.22,4.42,3.78,1.72,1.14,0.19,7.03
LTAR19-079 ,51.65,50.33,0.24,13.58,6.73,9.3,4.48,1.11,0.4,8.61
LTAR19-080 ,54.66,37.32,0.16,7.96,5.22,10.51,1.85,1.07,0.2,7.71
LTAR19-081 ,51.01,83.27,0.43,26.14,11.9,17.38,8.9,0.98,0.79,11.04
LTAR19-082 ,53.45,71.5,0.31,20.87,8.19,17.57,5.13,0.97,0.48,9.45
LTAR19-083 ,61.42,100.3,0.31,19.51,13.35,19.42,7.34,1.08,0.67,11.71
LTAR19-084 ,67.85,86.2,0.18,15.18,10.51,17.11,2.96,0.9,0.33,10.03
LTAR19-085 ,59.3,83.34,0.32,22.83,10.91,12.42,8.79,1.07,0.68,12.13
LTAR19-086 ,62.62,64.81,0.2,14.33,6.83,12.07,4.68,0.96,0.33,10.29
LTAR19-087 ,59.76,92.48,0.32,24.7,10.84,13.9,10.25,1.11,0.73,12.81
LTAR19-088 ,66.97,64.93,0.25,19.57,6.79,12.42,6.84,0.99,0.4,11.4
LTAR19-089 ,59.09,86.05,0.33,21.86,10.23,11.73,11.18,1.04,0.69,12.46
LTAR19-090 ,63.56,60.17,0.28,17.33,6.39,10.42,8.21,0.97,0.41,11.35
LTAR19-091 ,43.66,58.29,0.32,13.29,8.37,4.97,6.05,1.9,0.42,8.07
LTAR19-092 ,51.03,39.07,0.21,10.27,5.94,4.64,2.35,1.04,0.24,6.99
LTAR19-093 ,48.21,93.55,0.47,16.26,11.95,12.46,7.34,1.19,0.71,10.39
LTAR19-094 ,51.55,67.68,0.31,12.83,8.59,11.61,3.23,0.81,0.35,8.54
LTAR19-095 ,50.17,76.38,0.35,16.12,12.07,15.53,5.58,0.95,0.64,9.37
LTAR19-096 ,52.45,61.02,0.24,10.04,9.79,14.38,2.89,0.8,0.38,8.87
LTAR19-097 ,35.83,76.99,0.34,13.69,9.18,5.43,6.18,0.98,0.59,7.79
LTAR19-098 ,38.73,49.5,0.23,8.92,6.29,5.27,2.0,0.87,0.26,6.06
LTAR19-099 ,52.42,75.13,0.34,15.93,11.83,15.26,3.74,1.0,0.55,7.88
LTAR19-100 ,57.13,57.34,0.19,11.28,9.25,15.23,0.93,0.79,0.21,6.95
LTAR19-101 ,46.59,87.78,0.26,14.69,10.18,11.38,6.84,1.14,0.69,9.87
LTAR19-102 ,51.73,63.16,0.18,9.53,6.7,11.44,3.63,0.91,0.33,8.89
LTAR19-103 ,43.8,105.8,0.39,24.29,16.72,7.93,10.86,1.22,0.86,11.84
LTAR19-104 ,51.39,69.67,0.2,18.72,9.66,7.16,3.83,1.02,0.31,7.7
LTAR19-105 ,62.74,96.11,0.36,34.83,16.55,13.9,11.57,1.32,0.83,11.74
LTAR19-106 ,61.18,90.09,0.21,23.5,9.77,10.62,5.03,1.13,0.39,9.57
LTAR19-107 ,45.48,101.9,0.4,23.69,15.57,9.55,9.7,1.2,0.83,9.61
LTAR19-108 ,50.71,71.35,0.23,20.59,8.78,8.8,3.91,0.99,0.38,7.83
LTAR19-109 ,48.85,112.5,0.41,24.38,16.05,11.07,11.83,1.25,0.89,11.4
LTAR19-110 ,53.52,67.3,0.21,22.73,8.69,8.86,4.16,0.91,0.33,8.8
LTAR19-111 ,31.16,71.94,0.32,14.28,12.87,17.92,4.3,1.16,0.68,6.79
LTAR19-112 ,34.3,45.3,0.17,4.81,7.17,20.21,1.88,0.65,0.33,5.44
LTAR19-113 ,34.25,73.99,0.35,20.5,12.65,18.43,3.52,1.17,0.69,6.58
LTAR19-114 ,33.8,46.51,0.15,4.82,6.75,19.35,1.64,0.66,0.35,5.08
LTAR19-115 ,52.3,93.3,0.36,22.24,16.32,19.05,4.76,1.29,0.74,8.59
LTAR19-116 ,58.07,69.57,0.21,6.69,9.93,20.6,2.14,0.83,0.41,7.47
LTAR19-117 ,30.92,74.69,0.33,15.21,12.51,19.81,3.6,0.92,0.65,6.79
LTAR19-118 ,33.37,51.17,0.17,4.48,6.86,21.16,1.54,0.59,0.35,5.41
LTAR19-119 ,34.23,79.79,0.39,11.84,12.07,21.18,3.58,1.04,0.74,7.69
LTAR19-120 ,36.48,55.45,0.19,5.0,7.53,22.41,2.17,0.7,0.44,5.89
LTAR19-121 ,47.04,91.27,0.34,12.66,13.2,9.46,2.0,1.05,0.41,7.19
LTAR19-122 ,52.53,72.33,0.19,5.67,9.35,8.77,0.67,0.71,0.18,5.79
LTAR19-123 ,63.93,106.9,0.43,14.64,15.13,21.0,5.14,1.21,0.66,9.83
LTAR19-124 ,68.45,83.62,0.28,6.05,8.89,19.96,2.12,0.83,0.34,9.09
LTAR19-125 ,63.92,91.5,0.29,10.8,10.68,15.45,3.23,1.14,0.41,8.88
LTAR19-126 ,66.07,75.39,0.17,3.09,5.1,10.26,1.55,0.85,0.2,7.26
LTAR19-127 ,71.04,88.18,0.35,6.35,11.6,16.33,2.75,1.15,0.48,9.06
LTAR19-128 ,71.56,72.6,0.23,2.44,6.96,12.72,1.67,0.88,0.25,8.2
LTAR19-129 ,62.66,90.18,0.39,9.66,11.92,17.78,3.78,1.08,0.63,9.32
LTAR19-130 ,64.87,73.91,0.26,3.94,6.82,15.16,1.89,0.76,0.33,8.18
LTAR19-131 ,43.29,68.19,0.27,13.07,7.43,9.4,5.3,1.04,0.49,8.55
LTAR19-132 ,46.25,51.74,0.15,9.51,5.07,7.83,2.09,0.84,0.19,7.61
LTAR19-133 ,45.83,57.51,0.21,11.14,8.19,9.18,5.07,1.03,0.42,8.07
LTAR19-134 ,48.97,42.36,0.13,7.92,5.37,8.73,2.26,0.91,0.2,7.44
LTAR19-135 ,40.3,57.56,0.26,17.88,8.74,7.32,3.61,1.06,0.39,6.34
LTAR19-136 ,44.28,44.2,0.14,8.48,7.53,6.22,1.29,0.77,0.14,5.37
LTAR19-137 ,42.57,61.8,0.26,10.17,7.14,9.12,4.96,0.95,0.46,8.39
LTAR19-138 ,45.39,53.06,0.18,5.91,4.89,8.07,2.28,0.8,0.21,7.1
LTAR19-139 ,55.33,69.05,0.27,18.59,9.72,14.6,4.78,1.13,0.47,9.03
LTAR19-140 ,58.92,51.36,0.14,9.81,5.81,13.8,1.65,0.89,0.19,8.33
LTAR19-141 ,54.91,71.99,0.33,12.74,7.42,14.04,4.34,0.95,0.37,8.71
LTAR19-142 ,58.86,53.91,0.1,8.56,4.74,15.47,1.5,0.83,0.17,8.04
LTAR19-143 ,45.66,50.94,0.27,15.43,7.07,8.0,7.84,0.97,0.59,10.18
LTAR19-144 ,47.91,32.14,0.2,10.63,4.47,7.51,4.59,0.99,0.35,8.39
LTAR19-145 ,53.49,64.33,0.22,22.54,9.82,8.43,3.24,1.22,0.39,7.36
LTAR19-146 ,57.24,51.82,0.12,14.29,7.48,8.44,1.03,1.05,0.18,6.07
LTAR19-147 ,49.39,63.97,0.27,28.97,10.79,3.58,4.7,1.14,0.37,8.91
LTAR19-148 ,51.9,52.59,0.15,14.54,8.93,3.68,1.29,1.09,0.14,6.04
LTAR19-149 ,45.88,60.79,0.19,11.86,8.85,5.33,4.73,1.1,0.35,7.64
LTAR19-150 ,45.54,42.6,0.14,7.7,5.79,4.67,2.82,0.95,0.21,7.06
LTAR19-151 ,46.0,80.68,0.26,13.87,9.64,6.83,3.93,1.37,0.41,8.92
LTAR19-152 ,47.44,58.93,0.13,6.03,4.58,5.59,1.39,0.96,0.2,6.33
LTAR19-153 ,42.4,82.75,0.31,13.86,9.9,8.33,3.54,1.22,0.48,7.75
LTAR19-154 ,45.51,59.41,0.14,6.08,5.31,7.83,1.21,0.9,0.21,6.14
LTAR19-155 ,46.06,71.7,0.31,13.65,7.15,12.21,7.84,1.22,0.6,10.46
LTAR19-156 ,52.13,48.97,0.17,7.15,3.9,10.05,4.89,0.93,0.41,9.38
LTAR19-157 ,56.08,66.58,0.2,20.3,9.58,13.64,6.19,1.22,0.46,9.59
LTAR19-158 ,58.27,50.19,0.13,11.86,6.26,11.25,2.35,1.08,0.27,8.33
LTAR19-159 ,52.51,92.56,0.38,9.29,8.7,15.24,6.41,1.73,0.61,22.59
LTAR19-160 ,57.65,60.98,0.22,4.94,4.79,13.69,4.53,1.05,0.31,13.96
LTAR19-161 ,33.8,85.64,0.52,20.27,17.31,14.54,5.96,1.38,1.01,8.18
LTAR19-162 ,39.8,56.47,0.29,10.89,10.84,16.34,2.68,0.93,0.5,6.09
LTAR19-163 ,35.08,66.04,0.33,10.03,11.33,14.24,3.03,1.08,0.65,6.68
LTAR19-164 ,37.81,55.72,0.21,4.48,7.81,17.25,2.0,0.7,0.48,4.92
NAPT 106A ,44.94,34.91,0.05,11.48,1.79,0.57,5.54,0.88,0.14,8.46
NAPT 106B ,49.38,37.13,0.04,11.96,2.11,0.63,5.51,0.93,0.15,9.14
NAPT 106C ,52.41,38.62,0.04,13.16,2.22,0.69,5.52,0.92,0.15,9.72
NAPT 107A ,40.26,172.2,0.42,38.77,78.49,3.86,25.57,2.15,1.4,39.07
NAPT 107B ,39.62,168.3,0.42,41.96,76.37,3.76,25.35,2.1,1.37,37.96
NAPT 107C ,38.91,167.9,0.42,38.99,74.83,3.68,24.95,2.07,1.41,37.54
NAPT 108A ,30.1,97.02,0.14,10.79,15.23,5.62,6.14,1.53,0.12,15.29
NAPT 108B ,29.31,96.26,0.14,9.45,14.64,5.59,6.11,1.46,0.12,14.88
NAPT 108C ,29.4,95.86,0.14,10.59,14.85,5.51,6.11,1.47,0.12,14.95
NAPT 109A ,51.66,109.0,0.38,19.27,11.41,11.16,2.95,0.7,0.25,16.66
NAPT 109B ,52.63,109.9,0.38,18.94,11.34,11.49,2.91,0.66,0.25,17.27
NAPT 109C ,52.86,108.2,0.38,20.04,11.4,11.77,2.95,0.7,0.28,17.2
NAPT 110A ,65.41,66.62,0.08,19.0,12.9,13.76,6.06,0.96,0.27,19.41
NAPT 110B ,65.89,67.26,0.09,18.62,12.84,13.54,6.08,1.0,0.26,19.47
NAPT 110C ,65.47,66.86,0.08,18.32,12.68,13.56,6.05,0.96,0.26,19.41
QCW,0.12,2.39,0.07,0.23,0.12,0.1,7.62,0.07,0.1,
Worksheet Signature Trail,,,,,,,,,,
blank ,4.378461538461538,1.1861538461538463,,2.6092307692307695,0.4392307692307693,0.01,,0.10923076923076926,0.014000000000000002,0.05923076923076925
hag ,69.04615384615384,91.7830769230769,0.04461538461538461,8.702307692307691,8.513076923076923,8.588461538461537,2.8369230769230773,2.9946153846153845,0.17615384615384613,8.934615384615384
hub ,82.205,38.19833333333333,0.09416666666666666,28.8025,3.8249999999999997,,5.439166666666666,1.6574999999999998,0.35250000000000004,10.344999999999999
